Test 2013-5-14
51*101 Surface data points
Write Surface data .DAT file.
   51  51
   735.471   344.737   379.703
   747.118   343.092   379.703
   758.612   340.978   379.703
   769.916   338.393   379.703
   780.992   335.339   379.703
   791.802   331.814   379.703
   802.308   327.820   379.703
   812.471   323.355   379.703
   822.255   318.421   379.703
   831.620   313.017   379.703
   840.529   307.143   379.703
   848.944   300.799   379.703
   856.826   293.985   379.703
   864.138   286.701   379.703
   870.842   278.947   379.703
   876.900   270.724   379.703
   882.273   262.030   379.703
   886.924   252.867   379.703
   890.815   243.233   379.703
   893.907   233.130   379.703
   896.163   222.556   379.703
   897.544   211.513   379.703
   898.013   200.000   379.703
   502.666   200.000   373.524
   503.133   211.289   373.524
   504.509   222.118   373.524
   506.758   232.486   373.524
   509.839   242.393   373.524
   513.716   251.839   373.524
   518.351   260.824   373.524
   523.706   269.349   373.524
   529.743   277.413   373.524
   536.424   285.016   373.524
   543.711   292.158   373.524
   551.567   298.839   373.524
   559.953   305.060   373.524
   568.831   310.820   373.524
   578.164   316.119   373.524
   587.914   320.957   373.524
   598.043   325.335   373.524
   608.513   329.251   373.524
   619.285   332.707   373.524
   630.324   335.702   373.524
   641.589   338.237   373.524
   653.044   340.310   373.524
   664.650   341.923   373.524
   676.370   343.075   373.524
   688.166   343.766   373.524
   700.000   343.997   373.524
   711.834   343.766   373.524
   723.630   343.075   373.524
   735.350   341.923   373.524
   746.956   340.310   373.524
   758.411   338.237   373.524
   769.676   335.702   373.524
   780.715   332.707   373.524
   791.487   329.251   373.524
   801.957   325.335   373.524
   812.086   320.957   373.524
   821.836   316.119   373.524
   831.169   310.820   373.524
   840.047   305.060   373.524
   848.433   298.839   373.524
   856.289   292.158   373.524
   863.576   285.016   373.524
   870.257   277.413   373.524
   876.294   269.349   373.524
   881.649   260.824   373.524
   886.284   251.839   373.524
   890.161   242.393   373.524
   893.242   232.486   373.524
   895.491   222.118   373.524
   896.867   211.289   373.524
   897.334   200.000   373.524
   503.430   200.000   367.489
   503.896   211.070   367.489
   505.267   221.688   367.489
   507.506   231.854   367.489
   510.576   241.569   367.489
   514.438   250.831   367.489
   519.055   259.642   367.489
   524.389   268.001   367.489
   530.403   275.908   367.489
   537.058   283.363   367.489
   544.317   290.367   367.489
   552.142   296.918   367.489
   560.495   303.018   367.489
   569.339   308.666   367.489
   578.636   313.862   367.489
   588.348   318.606   367.489
   598.438   322.899   367.489
   608.867   326.739   367.489
   619.598   330.128   367.489
   630.594   333.065   367.489
   641.815   335.550   367.489
   653.226   337.583   367.489
   664.787   339.165   367.489
   676.462   340.294   367.489
   688.212   340.972   367.489
   700.000   341.198   367.489
   711.788   340.972   367.489
   723.538   340.294   367.489
   735.213   339.165   367.489
   746.774   337.583   367.489
   758.185   335.550   367.489
   769.406   333.065   367.489
   780.402   330.128   367.489
   791.133   326.739   367.489
   801.562   322.899   367.489
   811.652   318.606   367.489
   821.364   313.862   367.489
   830.661   308.666   367.489
   839.505   303.018   367.489
   847.858   296.918   367.489
   855.683   290.367   367.489
   862.942   283.363   367.489
   869.597   275.908   367.489
   875.611   268.001   367.489
   880.945   259.642   367.489
   885.562   250.831   367.489
   889.424   241.569   367.489
   892.494   231.854   367.489
   894.733   221.688   367.489
   896.104   211.070   367.489
   896.570   200.000   367.489
   504.277   200.000   361.596
   504.740   210.855   361.596
   506.106   221.267   361.596
   508.335   231.236   361.596
   511.392   240.762   361.596
   515.237   249.845   361.596
   519.834   258.485   361.596
   525.146   266.681   361.596
   531.133   274.435   361.596
   537.760   281.746   361.596
   544.987   288.613   361.596
   552.779   295.038   361.596
   561.096   301.019   361.596
   569.902   306.557   361.596
   579.159   311.652   361.596
   588.829   316.305   361.596
   598.875   320.514   361.596
   609.260   324.280   361.596
   619.945   327.603   361.596
   630.892   330.483   361.596
   642.066   332.920   361.596
   653.427   334.913   361.596
   664.939   336.464   361.596
   676.563   337.572   361.596
   688.263   338.236   361.596
   700.000   338.458   361.596
   711.737   338.236   361.596
   723.437   337.572   361.596
   735.061   336.464   361.596
   746.573   334.913   361.596
   757.934   332.920   361.596
   769.108   330.483   361.596
   780.055   327.603   361.596
   790.740   324.280   361.596
   801.125   320.514   361.596
   811.171   316.305   361.596
   820.841   311.652   361.596
   830.098   306.557   361.596
   838.904   301.019   361.596
   847.221   295.038   361.596
   855.013   288.613   361.596
   862.240   281.746   361.596
   868.867   274.435   361.596
   874.854   266.681   361.596
   880.166   258.485   361.596
   884.763   249.845   361.596
   888.608   240.762   361.596
   891.665   231.236   361.596
   893.894   221.267   361.596
   895.260   210.855   361.596
   895.723   200.000   361.596
   505.200   200.000   355.840
   505.661   210.645   355.840
   507.020   220.856   355.840
   509.239   230.632   355.840
   512.281   239.974   355.840
   516.109   248.881   355.840
   520.684   257.353   355.840
   525.970   265.392   355.840
   531.930   272.995   355.840
   538.525   280.165   355.840
   545.718   286.899   355.840
   553.473   293.199   355.840
   561.751   299.065   355.840
   570.516   304.496   355.840
   579.729   309.493   355.840
   589.354   314.055   355.840
   599.352   318.183   355.840
   609.688   321.876   355.840
   620.322   325.135   355.840
   631.218   327.959   355.840
   642.339   330.349   355.840
   653.647   332.304   355.840
   665.104   333.825   355.840
   676.674   334.911   355.840
   688.318   335.563   355.840
   700.000   335.780   355.840
   711.682   335.563   355.840
   723.326   334.911   355.840
   734.896   333.825   355.840
   746.353   332.304   355.840
   757.661   330.349   355.840
   768.782   327.959   355.840
   779.678   325.135   355.840
   790.312   321.876   355.840
   800.648   318.183   355.840
   810.646   314.055   355.840
   820.271   309.493   355.840
   829.484   304.496   355.840
   838.249   299.065   355.840
   846.527   293.199   355.840
   854.282   286.899   355.840
   861.475   280.165   355.840
   868.070   272.995   355.840
   874.030   265.392   355.840
   879.316   257.353   355.840
   883.891   248.881   355.840
   887.719   239.974   355.840
   890.761   230.632   355.840
   892.980   220.856   355.840
   894.339   210.645   355.840
   894.800   200.000   355.840
   506.195   200.000   350.219
   506.654   210.440   350.219
   508.006   220.454   350.219
   510.214   230.042   350.219
   513.240   239.204   350.219
   517.048   247.940   350.219
   521.600   256.250   350.219
   526.859   264.133   350.219
   532.788   271.591   350.219
   539.350   278.622   350.219
   546.507   285.227   350.219
   554.222   291.406   350.219
   562.458   297.159   350.219
   571.177   302.485   350.219
   580.343   307.386   350.219
   589.919   311.860   350.219
   599.866   315.908   350.219
   610.149   319.531   350.219
   620.729   322.727   350.219
   631.570   325.496   350.219
   642.634   327.840   350.219
   653.884   329.758   350.219
   665.283   331.249   350.219
   676.793   332.315   350.219
   688.378   332.954   350.219
   700.000   333.167   350.219
   711.622   332.954   350.219
   723.207   332.315   350.219
   734.717   331.249   350.219
   746.116   329.758   350.219
   757.366   327.840   350.219
   768.430   325.496   350.219
   779.271   322.727   350.219
   789.851   319.531   350.219
   800.134   315.908   350.219
   810.081   311.860   350.219
   819.657   307.386   350.219
   828.823   302.485   350.219
   837.542   297.159   350.219
   845.778   291.406   350.219
   853.493   285.227   350.219
   860.650   278.622   350.219
   867.212   271.591   350.219
   873.141   264.133   350.219
   878.400   256.250   350.219
   882.952   247.940   350.219
   886.760   239.204   350.219
   889.786   230.042   350.219
   891.994   220.454   350.219
   893.346   210.440   350.219
   893.805   200.000   350.219
   507.258   200.000   344.728
   507.714   210.241   344.728
   509.059   220.063   344.728
   511.254   229.468   344.728
   514.264   238.455   344.728
   518.051   247.024   344.728
   522.578   255.174   344.728
   527.809   262.907   344.728
   533.705   270.222   344.728
   540.230   277.119   344.728
   547.348   283.598   344.728
   555.021   289.659   344.728
   563.211   295.301   344.728
   571.883   300.526   344.728
   580.999   305.333   344.728
   590.522   309.722   344.728
   600.415   313.693   344.728
   610.642   317.246   344.728
   621.164   320.381   344.728
   631.945   323.098   344.728
   642.948   325.397   344.728
   654.137   327.278   344.728
   665.473   328.740   344.728
   676.920   329.785   344.728
   688.442   330.412   344.728
   700.000   330.621   344.728
   711.558   330.412   344.728
   723.080   329.785   344.728
   734.527   328.740   344.728
   745.863   327.278   344.728
   757.052   325.397   344.728
   768.055   323.098   344.728
   778.836   320.381   344.728
   789.358   317.246   344.728
   799.585   313.693   344.728
   809.478   309.722   344.728
   819.001   305.333   344.728
   828.117   300.526   344.728
   836.789   295.301   344.728
   844.979   289.659   344.728
   852.652   283.598   344.728
   859.770   277.119   344.728
   866.295   270.222   344.728
   872.191   262.907   344.728
   877.422   255.174   344.728
   881.949   247.024   344.728
   885.736   238.455   344.728
   888.746   229.468   344.728
   890.941   220.063   344.728
   892.286   210.241   344.728
   892.742   200.000   344.728
   508.382   200.000   339.366
   508.836   210.047   339.366
   510.173   219.683   339.366
   512.356   228.910   339.366
   515.348   237.726   339.366
   519.113   246.133   339.366
   523.614   254.129   339.366
   528.813   261.715   339.366
   534.675   268.892   339.366
   541.163   275.658   339.366
   548.239   282.014   339.366
   555.867   287.960   339.366
   564.010   293.496   339.366
   572.631   298.622   339.366
   581.694   303.337   339.366
   591.161   307.643   339.366
   600.997   311.539   339.366
   611.163   315.024   339.366
   621.624   318.100   339.366
   632.342   320.765   339.366
   643.281   323.021   339.366
   654.404   324.866   339.366
   665.674   326.301   339.366
   677.055   327.326   339.366
   688.509   327.942   339.366
   700.000   328.147   339.366
   711.491   327.942   339.366
   722.945   327.326   339.366
   734.326   326.301   339.366
   745.596   324.866   339.366
   756.719   323.021   339.366
   767.658   320.765   339.366
   778.376   318.100   339.366
   788.837   315.024   339.366
   799.003   311.539   339.366
   808.839   307.643   339.366
   818.306   303.337   339.366
   827.369   298.622   339.366
   835.990   293.496   339.366
   844.133   287.960   339.366
   851.761   282.014   339.366
   858.837   275.658   339.366
   865.325   268.892   339.366
   871.187   261.715   339.366
   876.386   254.129   339.366
   880.887   246.133   339.366
   884.652   237.726   339.366
   887.644   228.910   339.366
   889.827   219.683   339.366
   891.164   210.047   339.366
   891.618   200.000   339.366
   509.565   200.000   334.127
   510.016   209.858   334.127
   511.344   219.314   334.127
   513.514   228.368   334.127
   516.488   237.019   334.127
   520.229   245.268   334.127
   524.702   253.115   334.127
   529.870   260.559   334.127
   535.696   267.601   334.127
   542.143   274.240   334.127
   549.175   280.477   334.127
   556.756   286.311   334.127
   564.849   291.744   334.127
   573.417   296.773   334.127
   582.424   301.401   334.127
   591.833   305.626   334.127
   601.607   309.449   334.127
   611.711   312.869   334.127
   622.107   315.887   334.127
   632.760   318.502   334.127
   643.631   320.715   334.127
   654.686   322.526   334.127
   665.886   323.934   334.127
   677.197   324.940   334.127
   688.580   325.544   334.127
   700.000   325.745   334.127
   711.420   325.544   334.127
   722.803   324.940   334.127
   734.114   323.934   334.127
   745.314   322.526   334.127
   756.369   320.715   334.127
   767.240   318.502   334.127
   777.893   315.887   334.127
   788.289   312.869   334.127
   798.393   309.449   334.127
   808.167   305.626   334.127
   817.576   301.401   334.127
   826.583   296.773   334.127
   835.151   291.744   334.127
   843.244   286.311   334.127
   850.825   280.477   334.127
   857.857   274.240   334.127
   864.304   267.601   334.127
   870.130   260.559   334.127
   875.298   253.115   334.127
   879.771   245.268   334.127
   883.512   237.019   334.127
   886.486   228.368   334.127
   888.656   219.314   334.127
   889.984   209.858   334.127
   890.435   200.000   334.127
   510.800   200.000   329.010
   511.248   209.676   329.010
   512.568   218.957   329.010
   514.723   227.844   329.010
   517.678   236.335   329.010
   521.395   244.431   329.010
   525.839   252.133   329.010
   530.973   259.439   329.010
   536.761   266.351   329.010
   543.167   272.867   329.010
   550.154   278.989   329.010
   557.685   284.715   329.010
   565.726   290.047   329.010
   574.238   294.984   329.010
   583.186   299.526   329.010
   592.534   303.673   329.010
   602.246   307.425   329.010
   612.284   310.782   329.010
   622.613   313.744   329.010
   633.196   316.311   329.010
   643.997   318.483   329.010
   654.979   320.260   329.010
   666.107   321.643   329.010
   677.344   322.630   329.010
   688.654   323.223   329.010
   700.000   323.420   329.010
   711.346   323.223   329.010
   722.656   322.630   329.010
   733.893   321.643   329.010
   745.021   320.260   329.010
   756.003   318.483   329.010
   766.804   316.311   329.010
   777.387   313.744   329.010
   787.716   310.782   329.010
   797.754   307.425   329.010
   807.466   303.673   329.010
   816.814   299.526   329.010
   825.762   294.984   329.010
   834.274   290.047   329.010
   842.315   284.715   329.010
   849.846   278.989   329.010
   856.833   272.867   329.010
   863.239   266.351   329.010
   869.027   259.439   329.010
   874.161   252.133   329.010
   878.605   244.431   329.010
   882.322   236.335   329.010
   885.277   227.844   329.010
   887.432   218.957   329.010
   888.752   209.676   329.010
   889.200   200.000   329.010
   512.083   200.000   324.010
   512.528   209.500   324.010
   513.839   218.612   324.010
   515.980   227.337   324.010
   518.914   235.674   324.010
   522.607   243.623   324.010
   527.020   251.184   324.010
   532.120   258.357   324.010
   537.868   265.143   324.010
   544.231   271.541   324.010
   551.170   277.551   324.010
   558.650   283.174   324.010
   566.636   288.409   324.010
   575.091   293.256   324.010
   583.979   297.715   324.010
   593.263   301.786   324.010
   602.909   305.470   324.010
   612.879   308.766   324.010
   623.138   311.674   324.010
   633.649   314.194   324.010
   644.377   316.327   324.010
   655.285   318.072   324.010
   666.337   319.429   324.010
   677.498   320.399   324.010
   688.731   320.980   324.010
   700.000   321.174   324.010
   711.269   320.980   324.010
   722.502   320.399   324.010
   733.663   319.429   324.010
   744.715   318.072   324.010
   755.623   316.327   324.010
   766.351   314.194   324.010
   776.862   311.674   324.010
   787.121   308.766   324.010
   797.091   305.470   324.010
   806.737   301.786   324.010
   816.021   297.715   324.010
   824.909   293.256   324.010
   833.364   288.409   324.010
   841.350   283.174   324.010
   848.830   277.551   324.010
   855.769   271.541   324.010
   862.132   265.143   324.010
   867.880   258.357   324.010
   872.980   251.184   324.010
   877.393   243.623   324.010
   881.086   235.674   324.010
   884.020   227.337   324.010
   886.161   218.612   324.010
   887.472   209.500   324.010
   887.917   200.000   324.010
   513.410   200.000   319.125
   513.851   209.330   319.125
   515.153   218.280   319.125
   517.279   226.849   319.125
   520.193   235.037   319.125
   523.859   242.844   319.125
   528.241   250.270   319.125
   533.305   257.315   319.125
   539.013   263.980   319.125
   545.330   270.264   319.125
   552.220   276.167   319.125
   559.648   281.689   319.125
   567.578   286.830   319.125
   575.973   291.590   319.125
   584.798   295.970   319.125
   594.017   299.969   319.125
   603.594   303.587   319.125
   613.494   306.824   319.125
   623.680   309.680   319.125
   634.117   312.155   319.125
   644.769   314.250   319.125
   655.600   315.964   319.125
   666.575   317.296   319.125
   677.657   318.249   319.125
   688.811   318.820   319.125
   700.000   319.010   319.125
   711.189   318.820   319.125
   722.343   318.249   319.125
   733.425   317.296   319.125
   744.400   315.964   319.125
   755.231   314.250   319.125
   765.883   312.155   319.125
   776.320   309.680   319.125
   786.506   306.824   319.125
   796.406   303.587   319.125
   805.983   299.969   319.125
   815.202   295.970   319.125
   824.027   291.590   319.125
   832.422   286.830   319.125
   840.352   281.689   319.125
   847.780   276.167   319.125
   854.670   270.264   319.125
   860.987   263.980   319.125
   866.695   257.315   319.125
   871.759   250.270   319.125
   876.141   242.844   319.125
   879.807   235.037   319.125
   882.721   226.849   319.125
   884.847   218.280   319.125
   886.149   209.330   319.125
   886.590   200.000   319.125
   514.774   200.000   314.350
   515.213   209.167   314.350
   516.505   217.961   314.350
   518.615   226.380   314.350
   521.508   234.425   314.350
   525.147   242.095   314.350
   529.498   249.392   314.350
   534.524   256.314   314.350
   540.190   262.862   314.350
   546.461   269.036   314.350
   553.301   274.836   314.350
   560.675   280.262   314.350
   568.546   285.313   314.350
   576.880   289.990   314.350
   585.640   294.293   314.350
   594.792   298.222   314.350
   604.299   301.777   314.350
   614.126   304.958   314.350
   624.238   307.764   314.350
   634.599   310.196   314.350
   645.173   312.254   314.350
   655.925   313.938   314.350
   666.819   315.248   314.350
   677.820   316.183   314.350
   688.892   316.744   314.350
   700.000   316.931   314.350
